SOID,Dt,CustID,Gen,Ctry,Rgn,City,Grp,Prod,SubCat,Cat,Color,Qty,UPrice,ListUPrice,DiscPct,DiscAmount,UCost,Amount,Channel,Payment,ShipMode,Campaign,SalesRep,Segment,CustType,CustSince
51733,2022-01-10,CUST00542,F,Germany,Germany,Hamburg,Europe,Sport-100 Helmet,Helmets,Accessories,Không,2,35,41.18,0.15,12.36,19.45,70,Đại lý,Chuyển khoản,Tiêu chuẩn,Tết,Đặng Văn Minh,Thường,Cá nhân,2018
52444,2022-01-10,CUST00308,F,United States,Northwest,Seattle,North America,Bottle Cage,Bottle Cages,Accessories,Không,4,9,12.68,0.29,14.72,4.94,36,Đại lý,Chuyển khoản,Tiêu chuẩn,Tết,Nguyễn Văn An,Thường,Cá nhân,2020
54073,2022-01-12,CUST00220,F,United States,Southeast,Orlando,North America,Mountain Tire,Tires,Accessories,Không,1,35,38.04,0.08,3.04,18.96,35,Đại lý,Thẻ,Tiêu chuẩn,Tết,Hoàng Văn Em,Thường,Cá nhân,2023
50140,2022-01-13,CUST00406,M,United States,Southeast,Miami,North America,Minipump,Pumps,Accessories,Không,2,25,25.0,0.0,0.0,13.96,50,Cửa hàng,Thẻ,Nhận tại cửa hàng,Tết,Hoàng Văn Em,VIP,Doanh nghiệp,2021
50140,2022-01-13,CUST00406,M,United States,Southeast,Miami,North America,ML Crankset,Cranksets,Components,Không,2,113,117.71,0.04,9.42,66.72,226,Cửa hàng,Thẻ,Nhận tại cửa hàng,Tết,Hoàng Văn Em,VIP,Doanh nghiệp,2021
50140,2022-01-13,CUST00406,M,United States,Southeast,Miami,North America,Cycling Jersey,Jerseys,Clothing,Không,2,54,54.55,0.01,1.1,33.03,108,Cửa hàng,Thẻ,Nhận tại cửa hàng,Tết,Hoàng Văn Em,VIP,Doanh nghiệp,2021
50140,2022-01-13,CUST00406,M,United States,Southeast,Miami,North America,Mountain-500 Silver,Mountain Bikes,Bikes,Silver,1,565,576.53,0.02,11.53,336.22,565,Cửa hàng,Thẻ,Nhận tại cửa hàng,Tết,Hoàng Văn Em,VIP,Doanh nghiệp,2021
52103,2022-01-13,CUST00664,F,United States,Southwest,San Diego,North America,Water Bottle 30oz,Bottles,Accessories,Không,4,5,5.15,0.03,0.6,2.8,20,Cửa hàng,Thẻ,Nhận tại cửa hàng,Tết,Phạm Thị Dung,Thường,Cá nhân,2021
52103,2022-01-13,CUST00664,F,United States,Southwest,San Diego,North America,Sport-100 Helmet,Helmets,Accessories,Không,3,35,35.0,0.0,0.0,19.57,105,Cửa hàng,Thẻ,Nhận tại cửa hàng,Tết,Phạm Thị Dung,Thường,Cá nhân,2021
50836,2022-01-14,CUST00152,F,United States,Northwest,Seattle,North America,Front Brakes,Brakes,Components,Không,2,107,112.63,0.05,11.26,65.24,214,Cửa hàng,Tiền mặt,Nhận tại cửa hàng,Tết,Nguyễn Văn An,Thường,Cá nhân,2022
50836,2022-01-14,CUST00152,F,United States,Northwest,Seattle,North America,Full-Finger Gloves,Gloves,Clothing,Không,4,38,38.0,0.0,0.0,23.75,152,Cửa hàng,Tiền mặt,Nhận tại cửa hàng,Tết,Nguyễn Văn An,Thường,Cá nhân,2022
50836,2022-01-14,CUST00152,F,United States,Northwest,Seattle,North America,Cycling Jersey,Jerseys,Clothing,Không,3,54,54.55,0.01,1.65,32.97,162,Cửa hàng,Tiền mặt,Nhận tại cửa hàng,Tết,Nguyễn Văn An,Thường,Cá nhân,2022
50836,2022-01-14,CUST00152,F,United States,Northwest,Seattle,North America,Headlights - Dual,Lights,Accessories,Không,2,35,36.84,0.05,3.68,19.32,70,Cửa hàng,Tiền mặt,Nhận tại cửa hàng,Tết,Nguyễn Văn An,Thường,Cá nhân,2022
51486,2022-01-14,CUST00054,M,France,France,Marseille,Europe,Mountain-200 Black,Mountain Bikes,Bikes,Black,1,2295,2765.06,0.17,470.06,1331.66,2295,Đại lý,Chuyển khoản,Tiêu chuẩn,Tết,Bùi Thị Lan,VIP,Doanh nghiệp,2023
51724,2022-01-14,CUST00138,F,Australia,Australia,Sydney,Pacific,Cycling Shorts,Shorts,Clothing,Không,3,70,89.74,0.22,59.22,43.37,210,Đại lý,Thẻ,Tiêu chuẩn,Tết,Ngô Thị Nga,Mới,Cá nhân,2024
51724,2022-01-14,CUST00138,F,Australia,Australia,Sydney,Pacific,Rear Derailleur,Derailleurs,Components,Không,1,121,159.21,0.24,38.21,72.06,121,Đại lý,Thẻ,Tiêu chuẩn,Tết,Ngô Thị Nga,Mới,Cá nhân,2024
52644,2022-01-14,CUST00703,F,Australia,Australia,Brisbane,Pacific,Headlights - Dual,Lights,Accessories,Không,1,35,37.23,0.06,2.23,19.36,35,Online,Chuyển khoản,Giao nhanh,Tết,Ngô Thị Nga,VIP,Doanh nghiệp,2023
52644,2022-01-14,CUST00703,F,Australia,Australia,Brisbane,Pacific,Racing Socks,Socks,Clothing,Không,3,9,9.47,0.05,1.41,5.54,27,Online,Chuyển khoản,Giao nhanh,Tết,Ngô Thị Nga,VIP,Doanh nghiệp,2023
52644,2022-01-14,CUST00703,F,Australia,Australia,Brisbane,Pacific,Sport-100 Helmet,Helmets,Accessories,Không,2,35,36.46,0.04,2.92,19.4,70,Online,Chuyển khoản,Giao nhanh,Tết,Ngô Thị Nga,VIP,Doanh nghiệp,2023
51890,2022-01-15,CUST00779,M,United States,Central,Dallas,North America,LL Road Saddle,Saddles,Components,Không,1,28,31.11,0.1,3.11,17.23,28,Đại lý,Chuyển khoản,Tiêu chuẩn,Tết,Lê Văn Cường,Thường,Cá nhân,2021
51890,2022-01-15,CUST00779,M,United States,Central,Dallas,North America,Mountain-500 Silver,Mountain Bikes,Bikes,Silver,1,565,627.78,0.1,62.78,339.98,565,Đại lý,Chuyển khoản,Tiêu chuẩn,Tết,Lê Văn Cường,Thường,Cá nhân,2021
51890,2022-01-15,CUST00779,M,United States,Central,Dallas,North America,Front Brakes,Brakes,Components,Không,1,107,116.3,0.08,9.3,63.57,107,Đại lý,Chuyển khoản,Tiêu chuẩn,Tết,Lê Văn Cường,Thường,Cá nhân,2021
50421,2022-01-16,CUST00541,M,United Kingdom,United Kingdom,London,Europe,Road-650 Black,Road Bikes,Bikes,Black,1,783,889.77,0.12,106.77,669.47,783,Online,Thẻ,Tiêu chuẩn,Tết,Vũ Văn Hải,Thường,Cá nhân,2020
50421,2022-01-16,CUST00541,M,United Kingdom,United Kingdom,London,Europe,Touring-3000 Yellow,Touring Bikes,Bikes,Yellow,1,742,824.44,0.1,82.44,453.56,742,Online,Thẻ,Tiêu chuẩn,Tết,Vũ Văn Hải,Thường,Cá nhân,2020
50421,2022-01-16,CUST00541,M,United Kingdom,United Kingdom,London,Europe,Water Bottle 30oz,Bottles,Accessories,Không,5,5,5.05,0.01,0.25,2.77,25,Online,Thẻ,Tiêu chuẩn,Tết,Vũ Văn Hải,Thường,Cá nhân,2020
52329,2022-01-16,CUST00493,M,Germany,Germany,Berlin,Europe,Cycling Jersey,Jerseys,Clothing,Không,4,54,72.97,0.26,75.88,32.87,216,Đại lý,Thẻ,Tiêu chuẩn,Tết,Đặng Văn Minh,VIP,Doanh nghiệp,2022
52329,2022-01-16,CUST00493,M,Germany,Germany,Berlin,Europe,Racing Socks,Socks,Clothing,Không,4,9,11.39,0.21,9.56,5.62,36,Đại lý,Thẻ,Tiêu chuẩn,Tết,Đặng Văn Minh,VIP,Doanh nghiệp,2022
50657,2022-01-17,CUST00829,M,United Kingdom,United Kingdom,Manchester,Europe,Front Brakes,Brakes,Components,Không,2,107,142.67,0.25,71.34,63.05,214,Đại lý,Chuyển khoản,Tiêu chuẩn,Tết,Vũ Văn Hải,VIP,Doanh nghiệp,2022
50747,2022-01-17,CUST00257,M,United Kingdom,United Kingdom,Manchester,Europe,Road-150 Red,Road Bikes,Bikes,Red,1,3578,4112.64,0.13,534.64,2984.06,3578,Online,Chuyển khoản,Tiêu chuẩn,Tết,Vũ Văn Hải,VIP,Doanh nghiệp,2022
50747,2022-01-17,CUST00257,M,United Kingdom,United Kingdom,Manchester,Europe,Mountain-500 Silver,Mountain Bikes,Bikes,Silver,1,565,607.53,0.07,42.53,335.85,565,Online,Chuyển khoản,Tiêu chuẩn,Tết,Vũ Văn Hải,VIP,Doanh nghiệp,2022
51703,2022-01-18,CUST00240,M,United States,Southeast,Atlanta,North America,Water Bottle 30oz,Bottles,Accessories,Không,4,5,5.15,0.03,0.6,2.74,20,Online,Thẻ,Giao nhanh,Tết,Hoàng Văn Em,VIP,Cá nhân,2019
51703,2022-01-18,CUST00240,M,United States,Southeast,Atlanta,North America,Racing Socks,Socks,Clothing,Không,5,9,9.57,0.06,2.85,5.47,45,Online,Thẻ,Giao nhanh,Tết,Hoàng Văn Em,VIP,Cá nhân,2019
51703,2022-01-18,CUST00240,M,United States,Southeast,Atlanta,North America,Cycling Shorts,Shorts,Clothing,Không,3,70,72.92,0.04,8.76,43.87,210,Online,Thẻ,Giao nhanh,Tết,Hoàng Văn Em,VIP,Cá nhân,2019
53259,2022-01-18,CUST00672,F,France,France,Lyon,Europe,Headlights - Dual,Lights,Accessories,Không,2,35,47.3,0.26,24.6,19.21,70,Đại lý,Thẻ,Tiêu chuẩn,Tết,Bùi Thị Lan,Thường,Cá nhân,2022
53259,2022-01-18,CUST00672,F,France,France,Lyon,Europe,Bottle Cage,Bottle Cages,Accessories,Không,4,9,11.84,0.24,11.36,4.92,36,Đại lý,Thẻ,Tiêu chuẩn,Tết,Bùi Thị Lan,Thường,Cá nhân,2022
53259,2022-01-18,CUST00672,F,France,France,Lyon,Europe,Cycling Cap,Caps,Clothing,Không,2,9,12.68,0.29,7.36,5.59,18,Đại lý,Thẻ,Tiêu chuẩn,Tết,Bùi Thị Lan,Thường,Cá nhân,2022
50682,2022-01-19,CUST00006,M,United States,Central,Dallas,North America,Mountain Tire,Tires,Accessories,Không,4,35,45.45,0.23,41.8,19.25,140,Đại lý,Chuyển khoản,Tiêu chuẩn,Tết,Lê Văn Cường,Thường,Doanh nghiệp,2023
50682,2022-01-19,CUST00006,M,United States,Central,Dallas,North America,Water Bottle 30oz,Bottles,Accessories,Không,3,5,5.49,0.09,1.47,2.73,15,Đại lý,Chuyển khoản,Tiêu chuẩn,Tết,Lê Văn Cường,Thường,Doanh nghiệp,2023
50682,2022-01-19,CUST00006,M,United States,Central,Dallas,North America,Road-650 Black,Road Bikes,Bikes,Black,1,783,1058.11,0.26,275.11,666.94,783,Đại lý,Chuyển khoản,Tiêu chuẩn,Tết,Lê Văn Cường,Thường,Doanh nghiệp,2023
50743,2022-01-19,CUST00183,F,France,France,Paris,Europe,Sport-100 Helmet,Helmets,Accessories,Không,1,35,42.17,0.17,7.17,18.97,35,Đại lý,Chuyển khoản,Tiêu chuẩn,Tết,Bùi Thị Lan,Thường,Cá nhân,2020
50743,2022-01-19,CUST00183,F,France,France,Paris,Europe,Cycling Shorts,Shorts,Clothing,Không,1,70,81.4,0.14,11.4,42.69,70,Đại lý,Chuyển khoản,Tiêu chuẩn,Tết,Bùi Thị Lan,Thường,Cá nhân,2020
53740,2022-01-19,CUST00153,F,United States,Southwest,Phoenix,North America,Cycling Shorts,Shorts,Clothing,Không,1,70,85.37,0.18,15.37,42.7,70,Đại lý,Thẻ,Tiêu chuẩn,Tết,Phạm Thị Dung,Thường,Cá nhân,2019
53740,2022-01-19,CUST00153,F,United States,Southwest,Phoenix,North America,Cycling Jersey,Jerseys,Clothing,Không,4,54,65.85,0.18,47.4,33.63,216,Đại lý,Thẻ,Tiêu chuẩn,Tết,Phạm Thị Dung,Thường,Cá nhân,2019
53982,2022-01-19,CUST00017,F,Canada,Canada,Montreal,North America,Racing Socks,Socks,Clothing,Không,1,9,10.0,0.1,1.0,5.67,9,Đại lý,Thẻ,Tiêu chuẩn,Tết,Đỗ Thị Giang,Thường,Cá nhân,2023
53982,2022-01-19,CUST00017,F,Canada,Canada,Montreal,North America,HL Road Wheel,Wheels,Components,Không,1,280,333.33,0.16,53.33,165.04,280,Đại lý,Thẻ,Tiêu chuẩn,Tết,Đỗ Thị Giang,Thường,Cá nhân,2023
53131,2022-01-20,CUST00083,F,Germany,Germany,Berlin,Europe,Headlights - Dual,Lights,Accessories,Không,1,35,38.46,0.09,3.46,19.43,35,Online,Thẻ,Giao nhanh,Tết,Đặng Văn Minh,Thường,Cá nhân,2020
52161,2022-01-21,CUST00737,M,France,France,Paris,Europe,Sport-100 Helmet,Helmets,Accessories,Không,1,35,35.35,0.01,0.35,19.11,35,Online,Thẻ,Giao nhanh,Tết,Bùi Thị Lan,Mới,Cá nhân,2024
52161,2022-01-21,CUST00737,M,France,France,Paris,Europe,Rear Derailleur,Derailleurs,Components,Không,1,121,128.72,0.06,7.72,73.9,121,Online,Thẻ,Giao nhanh,Tết,Bùi Thị Lan,Mới,Cá nhân,2024
54198,2022-01-25,CUST00819,F,United States,Southwest,San Diego,North America,Cycling Cap,Caps,Clothing,Không,4,9,9.28,0.03,1.12,5.69,36,Online,Chuyển khoản,Tiêu chuẩn,Tết,Phạm Thị Dung,Thường,Cá nhân,2018
54198,2022-01-25,CUST00819,F,United States,Southwest,San Diego,North America,Patch Kit,Tires,Accessories,Không,4,2,2.02,0.01,0.08,1.09,8,Online,Chuyển khoản,Tiêu chuẩn,Tết,Phạm Thị Dung,Thường,Cá nhân,2018
51449,2022-01-26,CUST00219,F,Canada,Canada,Montreal,North America,Minipump,Pumps,Accessories,Không,2,25,27.78,0.1,5.56,13.97,50,Đại lý,Chuyển khoản,Tiêu chuẩn,Tết,Đỗ Thị Giang,Thường,Cá nhân,2022
52668,2022-01-26,CUST00511,F,United States,Central,Denver,North America,Mountain Tire,Tires,Accessories,Không,1,35,42.17,0.17,7.17,18.87,35,Đại lý,Chuyển khoản,Tiêu chuẩn,Tết,Lê Văn Cường,Thường,Cá nhân,2021
52668,2022-01-26,CUST00511,F,United States,Central,Denver,North America,Cycling Shorts,Shorts,Clothing,Không,3,70,85.37,0.18,46.11,42.89,210,Đại lý,Chuyển khoản,Tiêu chuẩn,Tết,Lê Văn Cường,Thường,Cá nhân,2021
50615,2022-01-27,CUST00796,M,United States,Southwest,Los Angeles,North America,Water Bottle 30oz,Bottles,Accessories,Không,6,5,5.56,0.1,3.36,2.71,30,Đại lý,Thẻ,Tiêu chuẩn,Tết,Phạm Thị Dung,Thường,Cá nhân,2022
50615,2022-01-27,CUST00796,M,United States,Southwest,Los Angeles,North America,Cycling Cap,Caps,Clothing,Không,2,9,11.54,0.22,5.08,5.53,18,Đại lý,Thẻ,Tiêu chuẩn,Tết,Phạm Thị Dung,Thường,Cá nhân,2022
51097,2022-01-27,CUST00291,M,United States,Northeast,Philadelphia,North America,Bottle Cage,Bottle Cages,Accessories,Không,4,9,12.33,0.27,13.32,4.99,36,Đại lý,Chuyển khoản,Tiêu chuẩn,Tết,Trần Thị Bình,Thường,Cá nhân,2023
52582,2022-01-28,CUST00381,M,United States,Southeast,Miami,North America,Bottle Cage,Bottle Cages,Accessories,Không,2,9,10.34,0.13,2.68,5.01,18,Đại lý,Chuyển khoản,Tiêu chuẩn,Tết,Hoàng Văn Em,Thường,Cá nhân,2022
52582,2022-01-28,CUST00381,M,United States,Southeast,Miami,North America,Headlights - Dual,Lights,Accessories,Không,2,35,42.68,0.18,15.36,19.28,70,Đại lý,Chuyển khoản,Tiêu chuẩn,Tết,Hoàng Văn Em,Thường,Cá nhân,2022
52050,2022-02-01,CUST00576,M,United States,Northeast,Philadelphia,North America,LL Road Saddle,Saddles,Components,Không,2,28,28.0,0.0,0.0,17.11,56,Cửa hàng,Thẻ,Nhận tại cửa hàng,Tết,Trần Thị Bình,Thường,Cá nhân,2022
52050,2022-02-01,CUST00576,M,United States,Northeast,Philadelphia,North America,Patch Kit,Tires,Accessories,Không,7,2,2.04,0.02,0.28,1.11,14,Cửa hàng,Thẻ,Nhận tại cửa hàng,Tết,Trần Thị Bình,Thường,Cá nhân,2022
52110,2022-02-01,CUST00317,F,United States,Southeast,Orlando,North America,Patch Kit,Tires,Accessories,Không,8,2,2.63,0.24,5.04,1.12,16,Đại lý,Chuyển khoản,Tiêu chuẩn,Tết,Hoàng Văn Em,Thường,Cá nhân,2021
52925,2022-02-01,CUST00471,F,United States,Southwest,Phoenix,North America,Mountain-500 Silver,Mountain Bikes,Bikes,Silver,1,565,642.05,0.12,77.05,333.72,565,Đại lý,Chuyển khoản,Tiêu chuẩn,Tết,Phạm Thị Dung,Thường,Cá nhân,2019
51584,2022-02-02,CUST00429,F,United States,Northeast,Philadelphia,North America,Road-650 Black,Road Bikes,Bikes,Black,1,783,1044.0,0.25,261.0,678.4,783,Đại lý,Thẻ,Tiêu chuẩn,Tết,Trần Thị Bình,Thường,Cá nhân,2022
51584,2022-02-02,CUST00429,F,United States,Northeast,Philadelphia,North America,Sport-100 Helmet,Helmets,Accessories,Không,3,35,50.0,0.3,45.0,19.34,105,Đại lý,Thẻ,Tiêu chuẩn,Tết,Trần Thị Bình,Thường,Cá nhân,2022
51584,2022-02-02,CUST00429,F,United States,Northeast,Philadelphia,North America,Water Bottle 30oz,Bottles,Accessories,Không,1,5,6.1,0.18,1.1,2.74,5,Đại lý,Thẻ,Tiêu chuẩn,Tết,Trần Thị Bình,Thường,Cá nhân,2022
52923,2022-02-02,CUST00234,M,United States,Northeast,Boston,North America,Mountain-500 Silver,Mountain Bikes,Bikes,Silver,1,565,724.36,0.22,159.36,339.45,565,Đại lý,Chuyển khoản,Tiêu chuẩn,Tết,Trần Thị Bình,Thường,Doanh nghiệp,2022
52923,2022-02-02,CUST00234,M,United States,Northeast,Boston,North America,Sport-100 Helmet,Helmets,Accessories,Không,3,35,45.45,0.23,31.35,19.01,105,Đại lý,Chuyển khoản,Tiêu chuẩn,Tết,Trần Thị Bình,Thường,Doanh nghiệp,2022
52923,2022-02-02,CUST00234,M,United States,Northeast,Boston,North America,Water Bottle 30oz,Bottles,Accessories,Không,3,5,6.94,0.28,5.82,2.76,15,Đại lý,Chuyển khoản,Tiêu chuẩn,Tết,Trần Thị Bình,Thường,Doanh nghiệp,2022
52923,2022-02-02,CUST00234,M,United States,Northeast,Boston,North America,Racing Socks,Socks,Clothing,Không,1,9,10.59,0.15,1.59,5.52,9,Đại lý,Chuyển khoản,Tiêu chuẩn,Tết,Trần Thị Bình,Thường,Doanh nghiệp,2022
52306,2022-02-04,CUST00807,M,Germany,Germany,Berlin,Europe,Cycling Jersey,Jerseys,Clothing,Không,2,54,58.7,0.08,9.4,33.84,108,Online,Thẻ,Giao nhanh,Tết,Đặng Văn Minh,Thường,Cá nhân,2018
53572,2022-02-05,CUST00237,M,United States,Northeast,Boston,North America,Mountain Tire,Tires,Accessories,Không,1,35,38.04,0.08,3.04,19.16,35,Online,Thẻ,Tiêu chuẩn,Tết,Trần Thị Bình,Mới,Doanh nghiệp,2024
54106,2022-02-05,CUST00153,F,United States,Southwest,Phoenix,North America,Mountain-500 Silver,Mountain Bikes,Bikes,Silver,1,565,706.25,0.2,141.25,335.08,565,Đại lý,Chuyển khoản,Tiêu chuẩn,Tết,Phạm Thị Dung,Thường,Cá nhân,2019
50393,2022-02-06,CUST00194,F,United States,Southwest,Los Angeles,North America,Patch Kit,Tires,Accessories,Không,3,2,2.7,0.26,2.1,1.11,6,Đại lý,Thẻ,Tiêu chuẩn,Tết,Phạm Thị Dung,Mới,Cá nhân,2024
51702,2022-02-06,CUST00540,F,United States,Central,Chicago,North America,Mountain Tire,Tires,Accessories,Không,1,35,38.46,0.09,3.46,19.14,35,Online,Thẻ,Tiêu chuẩn,Tết,Lê Văn Cường,Thường,Cá nhân,2022
51702,2022-02-06,CUST00540,F,United States,Central,Chicago,North America,Full-Finger Gloves,Gloves,Clothing,Không,2,38,40.86,0.07,5.72,23.81,76,Online,Thẻ,Tiêu chuẩn,Tết,Lê Văn Cường,Thường,Cá nhân,2022
52537,2022-02-06,CUST00583,F,United States,Southeast,Orlando,North America,Headlights - Dual,Lights,Accessories,Không,2,35,46.67,0.25,23.34,19.19,70,Đại lý,Chuyển khoản,Tiêu chuẩn,Tết,Hoàng Văn Em,Thường,Cá nhân,2021
52537,2022-02-06,CUST00583,F,United States,Southeast,Orlando,North America,Racing Socks,Socks,Clothing,Không,5,9,10.23,0.12,6.15,5.6,45,Đại lý,Chuyển khoản,Tiêu chuẩn,Tết,Hoàng Văn Em,Thường,Cá nhân,2021
50683,2022-02-08,CUST00708,M,United States,Southwest,Los Angeles,North America,Minipump,Pumps,Accessories,Không,1,25,25.77,0.03,0.77,13.62,25,Online,Thẻ,Tiêu chuẩn,Tết,Phạm Thị Dung,Thường,Cá nhân,2018
53772,2022-02-08,CUST00321,F,United States,Central,Chicago,North America,Mountain Tire,Tires,Accessories,Không,4,35,38.04,0.08,12.16,19.18,140,Online,Chuyển khoản,Tiêu chuẩn,Tết,Lê Văn Cường,Thường,Cá nhân,2023
53949,2022-02-08,CUST00721,F,United Kingdom,United Kingdom,Birmingham,Europe,Road-150 Red,Road Bikes,Bikes,Red,1,3578,4417.28,0.19,839.28,3084.19,3578,Đại lý,Thẻ,Tiêu chuẩn,Tết,Vũ Văn Hải,Mới,Cá nhân,2024
50163,2022-02-09,CUST00315,F,Canada,Canada,Montreal,North America,Mountain Tire,Tires,Accessories,Không,3,35,41.18,0.15,18.54,19.01,105,Đại lý,Thẻ,Tiêu chuẩn,Tết,Đỗ Thị Giang,Thường,Cá nhân,2021
51641,2022-02-11,CUST00625,F,Germany,Germany,Munich,Europe,Road-650 Black,Road Bikes,Bikes,Black,1,783,879.78,0.11,96.78,668.19,783,Cửa hàng,Thẻ,Nhận tại cửa hàng,Tết,Đặng Văn Minh,Thường,Cá nhân,2018
51641,2022-02-11,CUST00625,F,Germany,Germany,Munich,Europe,Cycling Shorts,Shorts,Clothing,Không,2,70,70.71,0.01,1.42,43.07,140,Cửa hàng,Thẻ,Nhận tại cửa hàng,Tết,Đặng Văn Minh,Thường,Cá nhân,2018
51641,2022-02-11,CUST00625,F,Germany,Germany,Munich,Europe,Cycling Cap,Caps,Clothing,Không,3,9,9.09,0.01,0.27,5.61,27,Cửa hàng,Thẻ,Nhận tại cửa hàng,Tết,Đặng Văn Minh,Thường,Cá nhân,2018
53082,2022-02-11,CUST00723,F,United States,Northwest,Portland,North America,Mountain Tire,Tires,Accessories,Không,3,35,35.35,0.01,1.05,19.52,105,Cửa hàng,Tiền mặt,Nhận tại cửa hàng,Tết,Nguyễn Văn An,Thường,Cá nhân,2022
53082,2022-02-11,CUST00723,F,United States,Northwest,Portland,North America,Cycling Cap,Caps,Clothing,Không,1,9,9.18,0.02,0.18,5.63,9,Cửa hàng,Tiền mặt,Nhận tại cửa hàng,Tết,Nguyễn Văn An,Thường,Cá nhân,2022
